ID,description
1,Afghan
2,African
3,Alpine
4,Alsatian
5,American
6,American Contemporary
7,Andalusian
8,Apulian
9,Argentinian
10,Armenian
11,Asian
12,Asian Contemporary
13,Asian Influences
14,Asian and Western
15,Asturian
16,Australian Contemporary
17,Austrian
18,Bakery
19,Balinese
20,Balkan
21,Barbecue
22,Basque
23,Bavarian
24,Beef
25,Beijing Cuisine
26,Belgian
27,Brazilian
28,Breton
29,British Contemporary
30,Bulgogi
31,Burgundian
32,Burmese
33,Cajun
34,Calabrian
35,Californian
36,Cambodian
37,Campanian
38,Cantonese
39,Cantonese Roast Meats
40,Caribbean
41,Castilian
42,Catalan
43,Central Asian
44,Chao Zhou
45,Cheese
46,Chicken Specialities
47,Chinese
48,Chinese Contemporary
49,Chiu Chow
50,Chueotang
51,Classic Cuisine
52,Classic French
53,Colombian
54,Congee
55,Contemporary
56,Corsican
57,Country cooking
58,Crab Specialities
59,Creative
60,Creative British
61,Creative French
62,Creole
63,Croatian
64,Cuban
65,Cuisine from Abruzzo
66,Cuisine from Basilicata
67,Cuisine from Franche-Comté
68,Cuisine from Lazio
69,Cuisine from Romagna
70,Cuisine from South West France
71,Cuisine from Valtellina
72,Cuisine from the Aosta Valley
73,Cuisine from the Marches
74,Curry
75,Czech
76,Danish
77,Deli
78,Dim Sum
79,Doganitang
80,Dongbei
81,Dubu
82,Duck Specialities
83,Dumplings
84,Dwaeji-gukbap
85,Eastern European
86,Egyptian
87,Emilian
88,Emirati Cuisine
89,English
90,Ethiopian
91,European
92,European Contemporary
93,Farm to table
94,Filipino
95,Finnish
96,Fish and Chips
97,Flemish
98,Fondue and Raclette
99,French
100,French Contemporary
101,Friulian
102,Fugu / Pufferfish
103,Fujian
104,Fusion
105,Galician
106,Gastropub
107,Gejang
108,German
109,Gomtang
110,Greek
111,Grills
112,Hainanese
113,Hakkanese
114,Hang Zhou
115,Home Cooking
116,Hotpot
117,Huaiyang
118,Hubei
119,Hui Cuisine
120,Hunanese
121,Hunanese and Sichuan
122,Hungarian
123,Indian
124,Indian Vegetarian
125,Indonesian
126,Innovative
127,International
128,Irish
129,Isan
130,Israeli
131,Italian
132,Italian Contemporary
133,Italian and Japanese
134,Italian-American
135,Izakaya
136,Jamaican
137,Japan
138,Japanese
139,Japanese Contemporary
140,Japanese Steakhouse
141,Jiangzhe
142,Jokbal
143,Kalguksu
144,Korean
145,Korean Contemporary
146,Kushiage
147,Kyoto
148,Lamb Specialities
149,Lao
150,Latin American
151,Lebanese
152,Ligurian
153,Lombardian
154,Lyonnaise
155,Macanese
156,Malaysian
157,Mandu
158,Mantuan
159,Meats and Grills
160,Meats and Seafood
161,Mediterranean Cuisine
162,Memil-guksu
163,Mexican
164,Middle Eastern
165,Milanese
166,Modern British
167,Modern Cuisine
168,Modern French
169,Moroccan
170,Naengmyeon
171,Nakagyo-ku
172,Nepali
173,Ningbo
174,Noodles
175,Noodles and Congee
176,North African
177,North American
178,Northern Thai
179,Norwegian
180,Obanzai
181,Oden
182,Okonomiyaki
183,Onigiri
184,Organic
185,Oyster Specialities
186,Pakistani
187,Peranakan
188,Persian
189,Peruvian
190,Piedmontese
191,Pizza
192,Polish
193,Pork
194,Portuguese
195,Provençal
196,Puerto Rican
197,Ramen
198,Regional Cuisine
199,Regional European
200,Rice Dishes
201,Roman
202,Russian
203,Sardinian
204,Savoyard
205,Scandinavian
206,Scottish
207,Seafood
208,Seasonal Cuisine
209,Seolleongtang
210,Shaanxi
211,Shabu-shabu
212,Shandong
213,Shanghainese
214,Sharing
215,Shellfish Specialities
216,Shojin
217,Shun Tak
218,Sichuan
219,Sicilian
220,Singaporean
221,Singaporean and Malaysian
222,Small eats
223,Smørrebrød
224,Soba
225,South African
226,South American
227,South East Asian
228,South Indian
229,South Tyrolean
230,Southern
231,Southern Thai
232,Spanish
233,Spanish Contemporary
234,Sri Lankan
235,Steakhouse
236,Street Food
237,Sujebi
238,Sukiyaki
239,Sushi
240,Swabian
241,Swedish
242,Swiss
243,Taiwanese
244,Taiwanese contemporary
245,Taizhou
246,Tempura
247,Teochew
248,Teppanyaki
249,Tex-Mex
250,Thai
251,Thai and Vietnamese
252,Thai contemporary
253,Thai-Chinese
254,Tibetan
255,Tonkatsu
256,Traditional British
257,Traditional Cuisine
258,Turkish
259,Tuscan
260,Udon
261,Umbrian
262,Unagi / Freshwater Eel
263,Vegan
264,Vegetarian
265,Venetian
266,Venezuelan
267,Vietnamese
268,Vietnamese Contemporary
269,World Cuisine
270,Xibei
271,Xinjiang
272,Yakitori
273,Yoshoku
274,Yukhoe
275,Yunnanese
276,Zhejiang
