restaurantID,serviceID
1,1
1,12
1,14
1,18
1,20
2,1
2,14
2,18
3,1
3,14
3,20
4,1
4,13
4,14
4,16
4,20
5,1
5,14
5,20
6,1
6,14
6,16
6,20
7,1
7,9
7,14
7,15
7,20
8,1
8,14
8,16
8,19
9,1
9,14
9,19
9,20
10,1
10,14
10,18
10,19
10,20
11,1
11,6
11,14
12,1
12,6
12,13
12,14
12,20
13,1
13,6
13,14
13,20
14,1
14,14
14,20
15,1
15,14
15,20
16,1
16,6
16,14
17,1
17,14
18,1
18,14
18,16
18,18
18,20
19,1
19,6
19,14
20,1
20,6
20,14
20,20
21,1
22,1
22,13
22,18
22,20
25,1
25,6
25,13
25,14
25,20
26,1
26,6
26,14
26,18
27,1
27,6
27,14
27,20
28,1
28,14
28,18
29,1
29,14
29,20
30,1
30,6
30,14
30,20
31,1
31,14
31,20
32,1
32,14
32,20
33,1
33,6
33,9
33,14
33,16
34,1
34,9
34,14
34,16
34,20
35,1
35,6
35,14
36,1
36,6
36,14
36,20
37,1
37,13
37,14
37,18
38,1
38,14
38,16
38,18
39,6
39,9
39,12
39,14
40,1
40,6
40,12
40,14
40,20
41,1
41,6
41,12
41,13
41,14
41,18
42,1
42,6
42,13
42,14
42,18
42,20
43,1
43,6
43,12
43,13
43,14
43,16
44,1
44,6
44,12
44,14
44,18
44,20
45,1
45,14
45,20
46,1
46,6
46,12
46,14
46,16
46,18
46,20
47,1
47,14
47,16
48,6
48,12
48,14
49,1
49,6
49,14
49,20
50,1
50,6
50,9
50,12
50,14
50,20
51,13
51,14
51,20
52,1
52,9
52,14
53,1
53,9
54,1
54,9
54,14
55,1
55,6
55,14
55,20
56,1
56,9
57,1
57,6
57,14
58,1
58,9
59,1
59,14
59,15
60,1
60,14
61,1
61,14
61,16
62,1
62,14
62,20
63,1
63,14
64,1
64,6
64,9
64,14
65,1
65,6
65,14
65,19
65,20
66,1
66,14
66,16
66,19
67,1
67,20
68,1
68,6
68,20
69,1
69,6
69,20
70,1
70,6
70,12
70,14
70,18
70,19
70,20
71,1
71,14
71,20
72,1
72,14
72,16
72,20
73,1
73,14
73,19
73,20
74,1
74,14
74,20
75,1
75,19
75,20
76,1
76,14
76,16
76,19
77,1
77,6
77,14
77,16
77,20
78,1
78,6
78,14
78,16
78,19
78,20
79,1
79,6
79,14
79,20
80,1
80,9
80,14
81,12
81,13
81,20
82,6
82,14
83,1
83,6
83,13
83,14
83,16
83,20
84,1
84,14
84,20
85,1
86,1
86,9
87,1
87,6
87,17
88,1
88,16
88,20
89,1
89,6
89,17
90,1
90,17
91,1
91,7
91,9
91,15
92,1
92,9
92,17
93,1
93,14
93,15
93,17
94,1
94,6
94,14
95,6
95,12
95,14
96,1
96,9
97,1
97,6
97,14
97,19
97,20
98,14
99,1
99,6
99,14
99,16
99,20
100,1
100,14
100,18
101,1
101,6
101,14
101,15
102,1
102,6
102,14
102,20
103,1
103,6
103,13
103,14
103,16
103,20
104,1
104,6
104,12
104,14
104,16
104,19
104,20
105,1
105,13
105,14
105,19
105,20
106,1
106,6
106,13
106,14
106,16
106,18
106,20
107,1
107,6
107,12
107,13
107,14
107,16
107,20
108,1
109,1
109,6
109,12
109,14
109,16
109,20
110,1
110,14
110,19
110,20
111,6
111,12
111,13
111,14
111,16
111,19
111,20
112,1
112,6
112,14
112,19
112,20
113,1
113,16
114,1
114,6
114,12
114,14
114,19
114,20
115,1
115,14
115,16
115,19
115,20
116,1
116,14
