restaurantID,cuisineID
1,59
1,55
2,59
2,55
3,144
3,55
4,55
4,99
5,207
6,263
6,126
7,138
7,239
8,5
8,99
9,55
9,59
10,59
10,167
11,231
12,59
13,59
13,126
14,59
15,59
16,167
17,59
18,59
19,59
19,15
20,59
21,250
22,168
23,168
24,52
25,59
25,257
26,59
27,59
28,59
29,59
30,59
30,257
31,59
32,126
33,126
34,59
34,55
35,59
35,55
36,59
37,59
37,207
38,132
39,59
39,3
40,59
40,161
41,161
41,55
42,161
42,55
43,167
43,59
44,132
45,59
46,132
47,59
47,208
48,59
48,57
49,52
49,208
50,59
50,93
51,52
52,138
53,138
54,138
55,99
55,55
56,239
57,99
57,100
58,138
59,138
60,99
60,55
61,99
61,55
62,99
62,55
63,47
64,245
65,44
66,167
67,244
68,220
68,55
69,38
70,55
70,35
71,55
71,99
72,55
72,99
73,55
73,35
74,55
74,35
75,11
75,55
76,92
77,100
78,99
79,59
79,198
80,167
81,59
82,59
83,59
83,55
84,59
84,207
85,167
85,59
86,138
87,138
88,126
89,138
90,138
91,138
92,138
93,138
94,59
94,167
95,52
96,59
96,127
97,59
97,167
98,59
98,167
99,52
100,167
100,59
101,59
101,55
102,168
102,59
103,52
103,59
104,59
105,59
106,207
107,59
108,59
109,59
110,59
111,167
112,59
113,51
114,59
114,55
115,167
116,167
117,59
118,167
119,59
120,161
120,167
121,59
122,167
122,59
123,51
124,59
125,59
126,59
127,59
128,59
129,51
130,59
131,59
131,207
132,59
133,59
134,126
135,100
136,131
137,38
138,38
139,100
140,100
141,38
142,239
143,59
144,61
145,60
146,167
147,99
148,59
149,168
150,99
151,167
152,166
153,52
154,51
155,126
155,3
156,167
156,17
157,100
157,198
158,51
158,208
159,59
160,167
161,61
161,167
162,59
162,208
163,59
163,167
164,59
164,167
165,59
166,167
166,127
167,59
167,208
168,3
168,167
169,92
170,167
171,167
172,59
172,110
173,59
173,122
174,167
174,122
175,55
175,207
176,138
176,55
177,239
178,55
179,55
180,138
180,239
181,144
181,55
182,55
183,5
183,55
184,205
184,55
185,205
185,55
186,55
187,55
187,100
188,55
188,4
189,55
190,55
191,55
191,6
192,59
192,167
193,167
193,258
194,123
194,55
195,252
196,108
196,55
197,100
198,167
199,250
200,100
201,59
202,59
202,167
203,59
204,59
204,133
205,59
206,167
207,59
208,59
209,59
209,161
210,59
211,59
212,59
212,42
213,55
214,59
215,167
216,59
217,167
218,59
219,59
219,41
220,59
221,59
221,161
222,59
223,59
224,167
225,167
226,59
227,59
228,126
229,167
230,59
231,59
232,167
233,38
234,38
235,131
236,245
237,264
238,131
239,38
240,38
241,38
242,156
242,55
243,59
243,57
244,55
244,59
245,132
245,161
246,59
247,59
247,55
248,57
248,167
249,59
249,55
250,259
250,55
251,127
251,55
252,59
252,219
253,59
253,55
254,55
254,259
255,59
255,127
256,59
256,55
257,59
257,126
258,190
258,167
259,59
259,161
260,51
261,167
261,55
262,55
262,59
263,59
263,198
264,161
264,59
265,55
265,59
266,59
266,55
267,59
267,55
268,59
268,161
269,207
269,167
270,190
270,167
271,59
271,55
272,132
272,59
273,132
273,99
274,59
274,161
275,59
275,132
276,132
276,59
277,59
277,55
278,59
278,55
279,59
280,55
281,168
281,208
282,167
282,208
283,167
283,59
284,168
284,93
285,100
286,168
287,139
287,104
288,161
288,208
289,168
289,99
290,131
291,59
291,167
292,59
293,59
293,167
294,59
294,167
295,167
295,59
296,214
296,167
297,168
297,55
298,59
298,167
299,167
299,208
300,59
300,126
301,59
302,59
302,93
303,59
303,167
304,59
304,127
305,59
305,167
306,138
307,131
308,138
309,246
310,99
311,246
312,99
312,55
313,126
314,99
315,138
316,138
317,99
317,55
318,246
319,138
320,138
321,99
321,55
322,239
323,126
324,138
325,99
325,55
326,138
327,138
328,138
329,232
329,55
330,239
331,264
332,25
333,213
334,212
335,59
335,208
336,55
336,61
337,167
338,59
338,51
339,167
340,184
340,263
341,59
341,13
342,167
343,59
344,59
345,59
346,59
346,52
347,59
348,59
348,168
349,61
350,59
351,59
351,168
352,59
353,59
354,138
355,245
356,218
357,233
358,126
359,12
360,246
361,100
362,55
363,138
363,207
364,55
364,5
365,55
366,207
367,55
367,35
368,55
369,131
369,55
370,168
371,55
371,167
372,163
372,55
373,35
373,55
374,35
374,59
375,123
376,99
377,131
378,59
379,132
379,167
380,126
381,29
382,100
383,239
384,126
385,126
386,59
387,59
387,198
388,92
389,38
390,38
391,59
392,59
392,167
393,167
393,241
394,168
394,208
395,55
396,205
397,167
398,51
399,59
400,59
401,126
402,167
403,59
404,59
404,55
405,59
406,59
407,167
407,27
408,59
409,167
410,167
410,126
411,163
411,167
412,55
412,163
413,138
414,138
415,138
416,126
417,99
417,55
418,138
419,138
420,138
421,138
422,138
423,99
423,55
424,126
425,138
426,138
427,138
428,138
429,47
430,138
431,239
432,138
433,126
434,138
435,138
436,138
437,246
437,138
438,138
439,138
440,126
441,138
442,246
443,138
444,138
445,161
445,55
446,168
446,59
447,167
447,59
448,167
449,167
449,59
450,167
450,51
451,59
451,51
452,59
452,167
453,168
453,59
454,167
454,55
455,51
455,167
456,61
456,127
457,61
457,51
458,59
458,198
459,11
459,108
460,59
461,59
461,126
462,59
462,167
463,52
464,161
464,59
465,59
465,167
466,59
466,55
467,167
467,139
468,100
468,51
469,59
469,167
470,59
471,59
471,167
472,168
472,59
473,61
473,208
474,167
474,52
475,52
476,51
476,59
477,126
477,93
478,51
478,167
479,59
479,55
480,59
480,52
481,167
481,59
482,59
482,126
483,167
483,59
484,168
484,59
485,52
485,51
486,167
486,59
487,61
487,167
488,59
489,52
489,208
490,59
490,208
491,59
491,168
492,59
492,167
493,59
494,167
495,167
496,167
496,161
497,138
497,59
498,59
499,59
500,167
501,59
501,167
502,59
503,59
504,59
505,167
506,59
507,59
508,167
509,167
510,59
511,59
511,167
512,167
513,167
514,59
515,167
516,167
517,59
518,167
519,51
520,59
521,59
522,59
523,167
524,167
525,59
526,167
527,167
528,167
529,167
530,59
531,167
532,59
533,59
534,59
534,161
535,51
536,167
537,59
537,167
538,59
538,167
539,59
539,167
540,59
540,167
541,59
542,59
542,198
543,167
544,167
545,59
546,59
547,59
548,167
549,51
550,59
551,51
552,51
553,207
553,167
554,51
555,59
555,167
556,59
556,167
557,59
557,167
558,167
559,167
559,59
560,167
560,59
561,207
561,59
562,59
563,59
564,167
565,167
566,167
567,38
568,38
569,100
570,100
571,120
571,218
572,38
573,126
574,38
575,117
576,38
577,100
578,126
579,132
580,38
581,38
582,126
583,131
584,59
585,167
586,59
587,59
588,59
589,59
589,194
590,207
591,167
592,167
593,168
593,167
594,59
594,13
595,167
595,51
596,59
596,167
597,168
597,59
598,257
598,99
599,59
599,167
600,59
601,59
601,168
602,59
603,167
603,99
604,59
604,168
605,167
606,167
607,168
608,13
608,59
609,52
609,257
610,59
610,167
611,59
611,167
612,59
613,59
614,144
615,144
615,145
616,144
616,167
617,126
618,239
619,138
620,126
621,55
621,208
622,166
623,123
624,59
625,167
626,59
627,59
628,168
629,123
630,99
631,47
632,168
633,167
634,167
635,59
636,168
636,100
637,59
638,167
639,99
640,167
641,258
641,59
642,168
643,59
644,256
645,167
646,166
647,59
648,167
649,59
650,55
651,208
651,167
652,167
652,208
653,59
654,59
654,208
655,59
655,208
656,59
656,198
657,167
658,59
658,208
659,167
659,208
660,59
660,208
661,59
661,208
662,59
662,208
663,51
664,59
664,208
665,208
665,198
666,59
667,167
667,59
668,59
669,59
669,167
670,59
671,59
671,167
672,55
672,257
673,208
673,59
674,59
674,99
675,59
675,13
676,99
677,55
678,59
678,198
679,168
680,167
680,127
681,167
682,167
683,167
683,208
684,167
684,208
685,127
685,59
686,59
686,127
687,167
687,127
688,264
688,59
689,59
690,208
690,167
691,59
691,208
692,167
693,208
693,167
694,3
694,51
695,51
696,59
696,17
697,167
697,51
698,51
699,264
699,208
700,55
700,126
701,51
702,51
702,257
703,51
704,167
705,51
705,59
706,167
706,226
707,59
707,51
708,55
708,59
709,167
709,198
710,55
710,99
711,59
712,198
712,126
713,59
714,55
715,161
716,167
717,167
717,55
718,167
719,167
720,99
721,55
721,110
722,55
722,161
723,167
723,55
724,167
724,55
725,167
725,55
726,100
727,123
728,167
729,59
730,167
731,167
732,167
733,167
733,194
734,167
735,167
736,144
736,55
737,138
737,239
738,138
738,239
739,55
739,134
740,138
740,239
741,55
742,131
742,198
743,99
744,130
744,164
745,55
745,99
746,163
746,55
747,144
747,145
748,55
749,144
749,55
750,55
751,104
751,12
752,264
752,263
753,232
753,55
754,138
754,239
