ID,restaurantID,IDCustomer,rating,content
1,1,771,2.5,Non all'altezza delle aspettative.
2,1,503,3.0,Buono ma potrebbe migliorare.
3,1,835,3.0,Buono ma potrebbe migliorare.
4,1,18,4.0,Ottima atmosfera per una serata romantica.
5,1,951,0.5,Delusione totale.
6,1,923,1.0,Personale scortese peccato perché il cibo era buono.
7,1,258,3.5,Ci tornerò sicuramente.
8,1,852,4.5,Prezzi onesti e piatti ben presentati.
9,1,179,4.5,Ottima atmosfera per una serata romantica.
10,1,667,3.5,Il dolce era spettacolare!
11,1,947,4.0,Porzioni abbondanti e sapori genuini.
12,1,878,4.0,Ottimo servizio e cibo delizioso!
13,1,471,2.0,Porzioni ridicole rispetto al prezzo.
14,1,29,1.0,Pessimo rapporto qualità/prezzo.
15,2,92,2.5,Menù vario ma niente che mi abbia colpito.
16,2,442,0.5,Pessimo rapporto qualità/prezzo.
17,2,93,2.5,Esperienza discreta.
18,2,569,1.0,Cibo senza sapore.
19,2,473,0.5,Troppo rumoroso per i miei gusti.
20,2,7,3.0,Esperienza discreta.
21,3,257,2.0,Delusione totale.
22,3,247,2.5,Piatti nella media.
23,3,64,3.5,Ottimo servizio e cibo delizioso!
24,3,535,4.0,Ingredienti freschissimi e di qualità.
25,3,720,1.5,Tavoli sporchi e servizio lento.
26,3,125,3.0,Locale carino ma nulla di speciale.
27,3,754,1.5,Esperienza negativa non tornerò.
28,3,859,0.5,Porzioni ridicole rispetto al prezzo.
29,3,905,4.0,Fantastico per una cena tra amici.
30,3,540,3.0,Non all'altezza delle aspettative.
31,3,744,1.5,Cibo senza sapore.
32,3,505,5.0,Ottimo servizio e cibo delizioso!
33,3,224,5.0,Esperienza fantastica personale gentile.
34,3,674,4.0,Fantastico per una cena tra amici.
35,4,651,2.0,Tempi di attesa troppo lunghi.
36,4,979,3.5,Prezzi onesti e piatti ben presentati.
37,4,714,3.5,Locale accogliente e atmosfera rilassante.
38,4,376,4.0,Servizio impeccabile davvero soddisfatto.
39,4,856,4.0,Il dolce era spettacolare!
40,4,768,3.0,Buono ma potrebbe migliorare.
41,4,401,3.0,Buono ma potrebbe migliorare.
42,4,459,3.5,Servizio impeccabile davvero soddisfatto.
43,4,732,3.5,Ottima atmosfera per una serata romantica.
44,4,197,4.5,Vasta scelta di piatti vegetariani.
45,5,676,2.5,Locale carino ma nulla di speciale.
46,5,491,0.5,Esperienza negativa non tornerò.
47,5,186,4.5,Esperienza fantastica personale gentile.
48,5,799,1.0,Pessimo rapporto qualità/prezzo.
49,5,347,4.5,Piatti curati nei minimi dettagli.
50,5,255,3.5,Vasta scelta di piatti vegetariani.
51,6,204,2.0,Personale scortese peccato perché il cibo era buono.
52,6,556,0.5,Non consiglio questo posto.
53,6,653,1.5,Porzioni ridicole rispetto al prezzo.
54,6,976,1.5,Esperienza negativa non tornerò.
55,6,455,1.0,Tavoli sporchi e servizio lento.
56,6,744,4.0,Ci tornerò sicuramente.
57,6,572,2.0,Delusione totale.
58,6,357,2.0,Tempi di attesa troppo lunghi.
59,6,160,1.5,Pessimo rapporto qualità/prezzo.
60,6,151,3.0,Menù vario ma niente che mi abbia colpito.
61,6,858,5.0,Il migliore della zona!
62,6,116,4.0,Il migliore della zona!
63,6,909,2.0,Pessimo rapporto qualità/prezzo.
64,6,701,2.5,Tempi di attesa accettabili.
65,6,486,2.0,Tempi di attesa troppo lunghi.
66,6,162,3.0,Qualità media prezzi alti.
67,6,233,1.0,Porzioni ridicole rispetto al prezzo.
68,6,697,4.0,Tutto perfetto consigliato!
69,6,575,2.0,Porzioni ridicole rispetto al prezzo.
70,6,871,4.5,Ingredienti freschissimi e di qualità.
71,7,347,4.5,Ottima atmosfera per una serata romantica.
72,7,651,3.5,Locale accogliente e atmosfera rilassante.
73,7,372,1.5,Troppo rumoroso per i miei gusti.
74,7,655,2.5,Piatti nella media.
75,7,596,4.0,Piatti curati nei minimi dettagli.
76,7,259,4.5,Vasta scelta di piatti vegetariani.
77,7,783,0.5,Personale scortese peccato perché il cibo era buono.
78,8,187,4.5,Servizio impeccabile davvero soddisfatto.
79,8,364,1.5,Non consiglio questo posto.
80,8,110,1.0,Porzioni ridicole rispetto al prezzo.
81,8,575,3.5,Locale accogliente e atmosfera rilassante.
82,8,586,1.0,Delusione totale.
83,8,891,3.0,Non all'altezza delle aspettative.
84,8,208,2.0,Cibo senza sapore.
85,8,740,3.5,Prezzi onesti e piatti ben presentati.
86,8,538,2.0,Tavoli sporchi e servizio lento.
87,8,974,1.0,Esperienza negativa non tornerò.
88,8,301,4.5,Porzioni abbondanti e sapori genuini.
89,8,223,1.5,Porzioni ridicole rispetto al prezzo.
90,8,781,1.0,Troppo rumoroso per i miei gusti.
91,8,748,2.5,Piatti nella media.
92,8,996,4.0,Il migliore della zona!
93,8,18,4.0,Ottima atmosfera per una serata romantica.
94,9,374,4.0,Locale accogliente e atmosfera rilassante.
95,9,229,2.5,Menù vario ma niente che mi abbia colpito.
96,9,777,4.5,Vasta scelta di piatti vegetariani.
97,9,594,2.5,Non all'altezza delle aspettative.
98,9,712,0.5,Porzioni ridicole rispetto al prezzo.
99,9,379,2.0,Tavoli sporchi e servizio lento.
100,9,167,4.0,Il migliore della zona!
101,9,918,3.0,Menù vario ma niente che mi abbia colpito.
102,9,12,4.5,Ci tornerò sicuramente.
103,10,114,2.5,Buono ma potrebbe migliorare.
104,10,525,4.5,Piatti curati nei minimi dettagli.
105,10,617,2.0,Troppo rumoroso per i miei gusti.
106,10,87,3.5,Ci tornerò sicuramente.
107,10,392,5.0,Locale accogliente e atmosfera rilassante.
108,10,940,3.5,Il migliore della zona!
109,10,291,3.5,Vasta scelta di piatti vegetariani.
110,10,251,2.5,Esperienza discreta.
111,10,490,2.0,Personale scortese peccato perché il cibo era buono.
112,10,914,1.5,Troppo rumoroso per i miei gusti.
113,10,255,2.5,Buono ma potrebbe migliorare.
114,10,657,2.5,Qualità media prezzi alti.
115,10,615,3.0,Qualità media prezzi alti.
116,10,687,0.5,Esperienza negativa non tornerò.
117,11,98,4.5,Locale accogliente e atmosfera rilassante.
118,11,987,1.5,Delusione totale.
119,11,861,4.0,Porzioni abbondanti e sapori genuini.
120,11,950,4.5,Ci tornerò sicuramente.
121,11,740,2.0,Pessimo rapporto qualità/prezzo.
122,11,496,2.5,Buono ma potrebbe migliorare.
123,11,541,4.5,Ci tornerò sicuramente.
124,11,141,5.0,Esperienza fantastica personale gentile.
125,11,301,1.0,Esperienza negativa non tornerò.
126,11,812,3.5,Locale accogliente e atmosfera rilassante.
127,11,544,2.5,Menù vario ma niente che mi abbia colpito.
